product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route,strength,strength_unit,description
71335-2584,Naproxen Sodium,Good Sense Naproxen Sodium,Bryant Ranch Prepack,"TABLET, FILM COATED",ORAL,220,mg,
71335-2831,Estradiol,Estradiol Vaginal,Bryant Ranch Prepack,CREAM,VAGINAL,.1,mg,
71335-3067,Amlodipine Besylate and Benazepril Hydrochloride,Amlodipine Besylate and Benazepril Hydrochloride,Bryant Ranch Prepack,CAPSULE,ORAL,10,mg,
71347-103,Benzocaine,Advance Topical Anesthetic Gel,The Atlanta Dental Supply Company DBA Advanced Dental Products,GEL,DENTAL,200,mg,
72476-853,DOCUSATE SODIUM,Stool Softener Laxative,"Care One (Retail Business Services, LLC.)","CAPSULE, LIQUID FILLED",ORAL,100,mg,
72266-237,DOXYCYCLINE,DOXYCYCLINE,FOSUN PHARMA USA INC,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,100,mg,
72288-703,Oxymetazoline hydrochloride,basic care no drip nasal,Amazon.com Services LLC,"SPRAY, METERED",NASAL,.05,g,
72407-439,"octinoxate, titanium dioxide, zinc oxide",Radiant Glow Illuminating BB Cream Sunscreen SPF 30 - Tan,"Pur-lisse Beauty, LLC",CREAM,TOPICAL,6.5,g,
71894-142,onasemnogene abeparvovec-xioi,Zolgensma,Novartis Innovative Technologies Inc.,KIT,,,,
71804-536,BENZOYL PEROXIDE,MDacne Customized Acne Treatment Benzoyl Peroxide,MDAlgorithms Inc,CREAM,TOPICAL,50,mg,
71872-7166,SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE,"Medical Purchasing Solutions, LLC","INJECTION, SOLUTION","INTRAMUSCULAR, INTRAVENOUS",20,mg,
71971-9999,"DROSERA, ARNICA MONTANA, BRYONIA, IPECACUANHA, CETRARIA ISLANDICA, COCCUS CACTI, CORALLIUM RUBRUM, STANNUM METALLICUM, CAMOMILLA, COFFEA CRUDEA",Kids Relief,Homeolab International (Canada) inc,LIQUID,ORAL,4,[hp_C],
72090-005,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE",Gencare DayTime Cold and Flu Softgel,"Pioneer Life Sciences, LLC","CAPSULE, LIQUID FILLED",ORAL,325,mg,
72162-1337,Oxycodone Hydrochloride,Oxycodone Hydrochloride,Bryant Ranch Prepack,TABLET,ORAL,30,mg,
72162-1733,Diclofenac Sodium,Diclofenac Sodium Delayed Release,Bryant Ranch Prepack,"TABLET, DELAYED RELEASE",ORAL,50,mg,
72162-2145,Cephalexin,Cephalexin,Bryant Ranch Prepack,CAPSULE,ORAL,500,mg,
72162-2408,Amantadine Hydrochloride,Amantadine Hydrochloride,Bryant Ranch Prepack,CAPSULE,ORAL,100,mg,
0054-8739,PredniSONE,PredniSONE,Hikma Pharmaceuticals USA Inc.,TABLET,ORAL,1,mg,
72189-360,Celecoxib,Celecoxib,DirectRx,CAPSULE,ORAL,200,mg,
0480-4053,Gefitinib,Gefitinib,"Teva Pharmaceuticals, Inc.","TABLET, FILM COATED",ORAL,250,mg,
72205-156,eltrombopag olamine,eltrombopag,Novadoz Pharmaceuticals LLC,"TABLET, FILM COATED",ORAL,12.5,mg,
74177-026,ALCOHOL,Natural ALOE HAND SANITIZER,K7 Design Group Inc.,GEL,TOPICAL,.62,mL,
73436-2859,levonorgestrel,Morning After Pill,Cadence Health Inc,TABLET,ORAL,1.5,mg,
73581-400,Guaifenesin,Guaifenesin,YYBA CORP,TABLET,ORAL,600,mg,
73691-047,TITANIUM DIOXIDE,OUTER REEF MINERAL SUNSCREEN SPF 30,"Coral Reef Park Co., Inc.",CREAM,TOPICAL,80,mg,
72562-123,Trolamine Salicylate 10%,Copperlife Pain Relief,"Tommie Copper, Inc.",CREAM,TOPICAL,10,g,
72603-119,Memantine,Memantine,NorthStar RxLLC,TABLET,ORAL,10,mg,
72603-437,Atomoxetine,Atomoxetine,NorthStar RxLLC,CAPSULE,ORAL,25,mg,
72658-0809,PREGABALIN,PREGABALIN,Eskayef Pharmaceuticals Limited,CAPSULE,ORAL,50,mg,
72789-147,Amoxicillin and Clavulanate Potassium,Amoxicillin and Clavulanate Potassium,"PD-Rx Pharmaceuticals, Inc.",TABLET,ORAL,875,mg,
72789-408,Tadalafil,Tadalafil,"PD-Rx Pharmaceuticals, Inc.","TABLET, FILM COATED",ORAL,10,mg,
72835-660,"ascorbic acid, cholecalciferol, thiamine, pyridoxal-5-phosphate, folic acid, methylcobalamin, calcium citrate, iron, iodine",Matervia,V2 Pharma LLC,CAPSULE,ORAL,125,mg,
72865-194,Potassium CHLORIDE,POTASSIUM CHLORIDE,"XLCare Pharmaceuticals, Inc.","TABLET, EXTENDED RELEASE",ORAL,750,mg,
72888-138,nitroglycerin,Nitroglycerin,Advagen Pharma Ltd,TABLET,SUBLINGUAL,.3,mg,
73002-332,"arnica (A. montana) Tinc, hemp extract (Cannabis sativa) 1X",PAIN RELIEF ARNICA AND HEMP,Green Earth Health Inc.,LOTION,TOPICAL,70,mg,
73117-523,racepinephrine hydrochloride,NebuClear MD,Blue Echo Care LLC,SOLUTION,RESPIRATORY (INHALATION),11.25,mg,
73305-0012,SODIUM HYALURONATE,SHINE pH MOISTURE,"CH BIO CO., LTD.",GEL,VAGINAL,.5,g,
75376-286,Coal Tar,QC Anti Dandruff T Plus,Guangzhou Danting Bath&Body Care Industry Co. Ltd.,LOTION/SHAMPOO,TOPICAL,5,mg,
0555-0882,Hydroxyurea,HYDROXYUREA,"Teva Pharmaceuticals USA, Inc.",CAPSULE,ORAL,500,mg,
75936-169,Zinc Oxide,(RE) Setting 100% Mineral Powder Translucent Broad Spectrum Sunscreen SPF 35,"Supergoop, LLC",POWDER,TOPICAL,24.7,g,
0573-0154,ibuprofen,ADVIL,Haleon US Holdings LLC,"TABLET, COATED",ORAL,200,mg,
76282-248,Levetiracetam,Levetiracetam,"Exelan Pharmaceuticals, Inc.",TABLET,ORAL,750,mg,
76348-596,Lidocaine HCI,Electrum Numb Foam,"RENU LABORATORIES, LLC",SOAP,TOPICAL,1.92,g,
76370-0013,Benzalkonium Chloride,Tazza,Tazza Brands East Inc.,CLOTH,TOPICAL,.13,g,
55758-442,Salicylic acid,Kingskin Saca Callos,Pharmadel,LIQUID,TOPICAL,17,g,
55910-626,Guaifenesin,dg health mucus er max,Dolgencorp Inc,"TABLET, MULTILAYER, EXTENDED RELEASE",ORAL,1200,mg,
56062-204,Pseudoephedrine Hydrochloride,Pseudoephedrine Hydrochloride,Publix Super Markets Inc,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,120,mg,
57237-033,Amoxicillin,Amoxicillin,"Rising Pharma Holdings, Inc.","POWDER, FOR SUSPENSION",ORAL,400,mg,
57627-154,"Octinoxate, Titanium Dioxide",Sheer Defense Tinted Moisturizer Broad Spectrum SPF 15 MD 70 Merle Norman,"Merle Norman Cosmetics, Inc.",LIQUID,TOPICAL,7.5,g,
57799-001,Oxygen,Oxygen,Allegheny Health Network Home Medical Equipment LLC,GAS,RESPIRATORY (INHALATION),99,L,
58118-0573,PHENOBARBITAL,PHENOBARBITAL,"Clinical Solutions Wholesale, LLC",TABLET,ORAL,30,mg,
57337-075,white petrolatum,Petroleum Jelly,Rejoice International Inc.,CREAM,TOPICAL,99,g,
58264-0040,"PHOSPHORIC ACID, LYCOPODIUM CLAVATUM SPORE, SODIUM SULFATE, CLAVICEPS PURPUREA SCLEROTIUM, URANYL NITRATE HEXAHYDRATE, PHASEOLUS VULGARIS WHOLE, and ARSENIC TRIOXIDE",D-40,"DNA Labs, Inc.",SOLUTION,SUBLINGUAL,8,[hp_X],
58264-0368,ALNUS VIRIDIS SUBSP. CRISPA LEAF,G-5,"DNA Labs, Inc.",SOLUTION,SUBLINGUAL,1,[hp_X],
58411-546,TITANIUM DIOXIDE,cle de peau BEAUTE RADIANT FLUID FOUNDATION O80,SHISEIDO AMERICAS CORPORATION,EMULSION,TOPICAL,2.72118,g,
58411-980,OCTINOXATE and TITANIUM DIOXIDE,cle de peau BEAUTE RADIANT FOUNDATION N M O70,Shiseido Americas Corporation,CREAM,TOPICAL,1.06,g,
58602-805,Polyethylene Glycol 3350,Polyethylene Glycol 3350,Aurohealth LLC,"POWDER, FOR SOLUTION",ORAL,17,g,
58809-217,"Choline Salicylate, Dextromethorphan Hydrobromide, Guaifenesin","TexaClear Severe Cough, Cold and Flu","GM Pharmaceuticals, INC",LIQUID,ORAL,870,mg,
59062-4201,BENZALKONIUM CHLORIDE,BabyGanics Kids Alcohol Free Foaming Hand Sanitizer Cupcake,KAS Direct LLC dba BabyGanics,LIQUID,TOPICAL,.12,mg,
59148-114,Aripiprazole,Abilify Asimtufii,"Otsuka America Pharmaceutical, Inc","INJECTION, SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,960,mg,
0220-3543,NAJA NAJA VENOM,Naja tripudians,Boiron,PELLET,ORAL,200,[kp_C],
0220-3611,"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",Natrum phosphoricum,Boiron,PELLET,ORAL,6,[hp_X],
55154-4697,Warfarin Sodium,Warfarin Sodium,"Cardinal Health 107, LLC",TABLET,ORAL,5,mg,
55289-058,Cephalexin,Cephalexin,"PD-Rx Pharmaceuticals, Inc.",CAPSULE,ORAL,500,mg,
55319-048,Menthol,Family Wellness Strawberry Cough Drops,Family Dollar,LOZENGE,ORAL,2.7,mg,
55466-110,Levothyroxine Sodium,LEVO-T,"Neolpharma, Inc.",TABLET,ORAL,125,ug,
55681-019,Hydrocortisone,ProCure Hydrocortisone 1%,Twin Med LLC,CREAM,TOPICAL,1,g,
55714-2544,"Iris versicolor, Solidago virgaurea, Aconitum napellus, Agaricus muscarius, Allium cepa, Allium sativum, Antimonium crudum, Arsenicum album, Baptisia tinctoria, Bovista, Caffeinum, Capsicum annuum, Cinchona officinalis, Cinnamomum, Coccus cacti, Cynara scolymus, Fragaria vesca, Gelsemium sempervirens, Histaminum hydrochloricum, Ipecacuanha, Jequerity, Juglans regia, Lachesis mutus, Ledum palustre, Lycopodium clavatum, Mentha piperita, Natrum muriaticum, Nux moschata,",Food Additives,"Newton Laboratories, Inc.",LIQUID,ORAL,15,[hp_X],
59469-107,"Ailanthus altissima Whole, Silver Nitrate, Cinchona Officinalis Bark, Lachesis Muta Venom, Cynanchum Vincetoxicum Leaf, Echinacea, unspecified, Marrubium Vulgare, and Nasturtium officinale Whole",apo-INFEKT,PEKANA Naturheilmittel GmbH,SOLUTION/ DROPS,ORAL,3,[hp_X],
59651-174,Doxepin Hydrochloride,Doxepin Hydrochloride,Aurobindo Pharma Limited,CAPSULE,ORAL,25,mg,
0220-5243,VERBASCUM THAPSUS,VERBASCUM THAPSUS,Boiron,PELLET,ORAL,30,[hp_C],
0220-5336,ZANTHOXYLUM AMERICANUM BARK,XANTHOXYLUM FRAXINEUM,Boiron,PELLET,ORAL,200,[kp_C],
59779-884,cetirizine Hydrochloride,Allergy Relief Childrens,CVS Pharmacy,SOLUTION,ORAL,5,mg,
60219-2649,Pilocarpine Hydrochloride,Pilocarpine Hydrochloride Ophthalmic,Amneal Pharmaceuticals NY LLC,SOLUTION/ DROPS,OPHTHALMIC,12.5,mg,
60505-0164,Fluvoxamine Maleate,Fluvoxamine Maleate,Apotex Corp,TABLET,ORAL,25,mg,
59762-0800,Tolterodine Tartrate,Tolterodine Tartrate,Mylan Pharmaceuticals Inc.,"TABLET, FILM COATED",ORAL,2,mg,
60505-4858,tofacitinib,Tofacitinib,Apotex Corp.,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,11,mg,
60687-381,Phytonadione,Phytonadione,American Health Packaging,TABLET,ORAL,5,mg,
60687-736,Pantoprazole Sodium,Pantoprazole Sodium,American Health Packaging,"TABLET, DELAYED RELEASE",ORAL,40,mg,
60760-369,Nabumetone,Nabumetone,St. Mary's Medical Park Pharmacy,TABLET,ORAL,750,mg,
60760-993,Metoprolol succinate,Metoprolol succinate,ST. MARY'S MEDICAL PARK PHARMACY,"TABLET, EXTENDED RELEASE",ORAL,50,mg,
60954-007,Camphor Menthol Methyl Salicylate,Eagle Medicated Aromatic,"Eagle Indo Pharma, PT",OIL,TOPICAL,7,g,
61314-225,timolol maleate,Timolol GFS,Sandoz Inc,"SOLUTION, GEL FORMING / DROPS",OPHTHALMIC,5,mg,
61589-0240,"Octinoxate, Titanium Dioixide, Octisalate",No7 Protect and Perfect Intense Advanced All in One Foundation SPF 50 Birch,BCM Cosmetique SAS,CREAM,TOPICAL,1.95,g,
61703-408,Methotrexate,Methotrexate,"Hospira, Inc.","INJECTION, SOLUTION","INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS",25,mg,
78261-324,Sunscreen,Natural Sense SPF 50 Sunscreen,Dr. Natural LLC,CLOTH,TOPICAL,3,g,
79481-0061,Omeprazole,Omeprazole,Meijer Distribution Inc.,CAPSULE,ORAL,20.6,mg,
79524-000,ALCOHOL,Instant HAND SANITIZER,Xact Xpressions,GEL,TOPICAL,.75,mL,
79903-156,Loratadine,All Day Allergy Relief,WALMART INC. (see also Equate),TABLET,ORAL,10,mg,
76420-353,Eszopiclone,Eszopiclone,"Asclemed USA, Inc.","TABLET, FILM COATED",ORAL,2,mg,
76420-757,Oxycodone Hydrochloride,Oxycodone Hydrochloride,"Asclemed USA, Inc.",TABLET,ORAL,10,mg,
76472-1156,PHOSPHORUS,Phosphorus,SEVENE USA,PELLET,SUBLINGUAL,30,[hp_C],
77039-010,Isopropyl Alcohol,70% Isopropyl Alcohol,IDO PHARM,LIQUID,TOPICAL,70,g,
82723-031,ZINC OXIDE,spf30 mineral sunscreen mousse,"Aopline Health Industry Technology (Guangzhou) Co., Ltd.",SPRAY,TOPICAL,15,g,
82804-107,Lactulose,LACTULOSE,Proficient Rx LP,SOLUTION,ORAL,10,g,
82804-993,Lacosamide,Lacosamide,Proficient Rx LP,"TABLET, FILM COATED",ORAL,200,mg,
82953-009,"octocrylene, octisalate",SPF15 lip balm 01,"Cosmuses Cosmetics (Ningbo) Co., Ltd.",LIPSTICK,TOPICAL,2,g,
80489-300,SALICYLIC ACID,Drs. ACNE CLEAR,"OL PHARMA TECH, LLC Drs. PHARMACY",GEL,TOPICAL,5,mg,
79906-420,Zinc Oxide,KISS New York Tinted Moisturizer,"IVY ENTERPRISES, INC.",CREAM,TOPICAL,3.5,g,
80425-0090,Tizanidine HCL,Tizanidine HCL,"Advanced Rx of Tennessee, LLC",CAPSULE,ORAL,4,mg,
80425-0358,clonazepam,Clonazepam,"Advanced Rx of Tennessee, LLC",TABLET,ORAL,.5,mg,
80684-129,ALCOHOL,B Pure Moisturizing Hand Sanitizer Watermelon Scented,"Fourstar Group USA, Inc",LIQUID,TOPICAL,70,mL,
81033-241,"Lactulose Solution USP, 10 g/15 mL",Lactulose Solution,Kesin Pharma Corporation,SOLUTION,"ORAL, RECTAL",10,g,
81385-003,ALCOHOL,CleanGenic 8 OZ HAND SANITIZER,"CleanGenic, LLC",LIQUID,TOPICAL,62,mL,
81679-220,"Titanium Dioxide, Zinc Oxide",Mineral Based Sunscreen Stick Tinted,"KATHLEEN P. HUTTON, M.D., INC. A PROFESSIONAL CORPORATION",STICK,TOPICAL,40,mg,
82009-039,Lansoprazole,Lansoprazole,Quallent Pharmaceuticals Health LLC,"CAPSULE, DELAYED RELEASE",ORAL,30,mg,
82094-404,Methylprednisolone,Methylprednisolone Sodium Succinate,"Tianjin Kingyork Pharmaceuticals Co., Ltd","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR, INTRAVENOUS",1,g,
0615-8332,Glimepiride,Glimepiride,"NCS HealthCare of KY, Inc dba Vangard Labs",TABLET,ORAL,1,mg,
0615-8385,allopurinol,Allopurinol,"NCS HealthCare of KY, LLC dba Vangard Labs",TABLET,ORAL,100,mg,
82619-147,Nitrofurantoin (monohydrate/macrocrystals),NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS),Creekwood Pharmaceuticals LLC,CAPSULE,ORAL,25,mg,
82996-006,POVIDONE-IODINE,Antiseptic Povidone-lodine Prep Pad,"Hubei Changjian Medical Products Co., Ltd.",CLOTH,TOPICAL,10,mg,
83027-0070,"Cytomegalovirus Nosode, Herpes Simplex I Nosode, Herpes Simplex II Nosode, Influenzinum, Rubella Nosode, Hepatitis A Nosode, Hepatitis B Nosode, Hepatitis C Nosode, Epstein Barr Virus Nosode, Herpes Zoster Nosode",Viri Sode,"Nutritional Specialties, Inc.",SPRAY,ORAL,30,[hp_X],
82969-2087,"Gutheria, Helonias, Kali bich, Kali brom, Pulsatilla, Rhus tox, Secale corn",Bestmade Natural Products BM87,Bestmade Natural Products,LIQUID,ORAL,30,[hp_C],
82969-5007,Ammonium Carbonicum,Bestmade Natural Products Ammonium Carb,Bestmade Natural Products,"TABLET, SOLUBLE",ORAL,30,[hp_C],
84126-222,Pyrithione Zinc,Head and Shoulders Hydrating Coconut Kit,The Procter & Gamble Manufacturing Company,KIT,TOPICAL,,,
84165-003,LIDOCAINE,Lidocaine Pain Relief Gel Roll-On,"Guangzhou Zhupuyou E-commerce Co., Ltd",GEL,TOPICAL,.04,g,
84309-002,"Avobenzone,Homosalate,Octisalate",TuroSkin Sport Sunscreen Broad Spectrum SPF 30 WR SR 80min,Renuskin LLC,LOTION,TOPICAL,3,g,
0713-5501,zolpidem tartrate,Ambien CR,"Cosette Pharmaceuticals, Inc.","TABLET, COATED",ORAL,6.25,mg,
83100-1762,Zinc Oxide,pavise Lip Defense tinted hydrating oil (hue 616),B.A.I. Biosciences INC.,LOTION,TOPICAL,100,mg,
83252-128,Zinc Oxide sunscreen,Sun Zapper - Anti-ageing pure zinc sunscreen SPF30,VEGANIC SKN LIMITED,CREAM,TOPICAL,25,kg,
83324-064,Loperamide HCl,Anti Diarrheal,"Chain Drug Marketing Association, Inc.",TABLET,ORAL,2,mg,
83338-0087,Zinc Oxide,Covey Sun and Done Daily Moisturizing,Covey Skin,LOTION,TOPICAL,132,mg,
83570-523,"Camphora HPUS, Aloe",OLD TIME Owell Naturals Draw Salve with Aloe,Owell Naturals Brand LLC,SALVE,TOPICAL,1.132,g,
83698-221,Creamy Strawberry Flavor cough drop with Menthol and Pectin,Creamy Strawberry Flavor Cough Drop,"Xiamen Kang Zhongyuan Biotechnology Co., Ltd.",LOZENGE,ORAL,2.5,mg,
83814-005,ALCOHOL,Zoviro,"Zoviro, LLC",LIQUID,TOPICAL,70,mL,
83986-973,ethyl alcohol,ETHYL ALCOHOL,"UpLift Brands, LLC",LIQUID,TOPICAL,62,mL,
84097-004,Lidocaine HCL,Honest Med Lidocaine Lavender Roll-on,Proper Buys LLC,LIQUID,TOPICAL,4,g,
84714-0641,Menthol,Gold Bond Extra Strength,Gold Bond Co LLC,LOTION,TOPICAL,.005,g,
0781-2790,Omeprazole,Omeprazole,Sandoz Inc,"CAPSULE, DELAYED RELEASE",ORAL,20,mg,
0781-3208,Ceftriaxone Sodium,Ceftriaxone Sodium,Sandoz Inc,"INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR, INTRAVENOUS",1,g,
0781-1831,Amoxicillin and Clavulanate Potassium,Amoxicillin and Clavulanate Potassium,Sandoz Inc,"TABLET, FILM COATED",ORAL,500,mg,
11564-004,Air,Air,"Fresno Oxygen and Welding Suppliers, Inc.",GAS,RESPIRATORY (INHALATION),210,mL,
11673-750,Diphenhydramine HCl,Sleep Aid,TARGET Corporation,LIQUID,ORAL,50,mg,
11822-0060,Zinc Oxide,Rite Aid Mineral Zinc Oxide Sunscreen Broad Spectrum SPF 50,Rite Aid,STICK,TOPICAL,216,mg,
11822-3016,Calcium Carbonate,RITE AID Pharmacy Ultra Strength Assorted Fruits,RITE AID CORPORATION,"TABLET, CHEWABLE",ORAL,1000,mg,
71124-0045,donanemab,,"SAMSUNG BIOLOGICS Co., Ltd.",LIQUID,,1,kg,
10967-667,"Oxybenzone, Octinoxate",CERAMIDE LIFT and FIRM EYE SPF 15,REVLON,EMULSION,TOPICAL,4.1,mg,
10967-694,Face foundation with SPF,RV Illuminance Serum Tint Broad Spectrum 15 Buff Beige,REVLON CONSUMER PR Consumer Products Corp,CREAM,TOPICAL,1.54,g,
11043-002,Nitrogen,Nitrogen,"S. J. Smith Co., Inc.",GAS,RESPIRATORY (INHALATION),990,mL,
73377-225,Erlotinib HCl,,AX Pharmaceutical Corp,POWDER,,1,g,
75895-0136,pembrolizumab,,MSD International GmbH (Singapore Branch),"INJECTION, SOLUTION",,25,mg,
76397-013,Tafluprost,,"Zhejiang Ausun Pharmaceutical Co., Ltd.",POWDER,,1,g,
80425-0429,Diclofenac Sodium,,"Advanced Rx Pharmacy of Tennessee, LLC",POWDER,,.025,g,
82139-0024,Avanafil,,RAKSHIT DRUGS PRIVATE LIMITED,POWDER,,1,kg,
82646-001,IR Microparticles,,MERIBEL PHARMA PESSAC,PELLET,,1,kg,
86184-123,GRAMICIDIN,,MAEDA INC,POWDER,,1,g,
83511-009,Biotin,,STHREE CHEMICALS PRIVATE LIMITED,POWDER,,35,kg,
84206-0012,ATOMOXETINE HYDROCHLORIDE,,Matrix Pharmacorp Private Limited,POWDER,,1,kg,
84577-750,Gedatolisib,,Celcuity,POWDER,,1,kg,
85207-059,SLU-PP-332,,SCH Global Services Private Limited,POWDER,,100,g,
21130-945,Acetaminophen,Pain Reliever,"Better Living Brands, LLC",SOLUTION,ORAL,1000,mg,
22840-0203,Festuca elatior,Standardized Meadow Fescue Pollen,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS",10000,[BAU],
0093-5907,Mesalamine,Mesalamine,"Teva Pharmaceuticals USA, Inc.","CAPSULE, DELAYED RELEASE",ORAL,400,mg,
22840-2324,Atriplex canescens,Wingscale,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS",.1,g,
0093-7471,Rizatriptan Benzoate,Rizatriptan Benzoate,"Teva Pharmaceuticals USA, Inc.",TABLET,ORAL,5,mg,
12121-002,NITROUS OXIDE,NITROUS OXIDE,"Badger Welding Supplies, Inc.",GAS,RESPIRATORY (INHALATION),99,L,
13668-089,OLANZAPINE,OLANZAPINE,Torrent Pharmaceuticals Limited,"TABLET, ORALLY DISINTEGRATING",ORAL,15,mg,
13734-184,"OCTINOXATE, TITANIUM DIOXIDE",NARS PURE RADIANT TINTED MOISTURIZER Norwich,NARS Cosmetics,CREAM,TOPICAL,4.044,g,
14222-0002,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",ESSENTIALS Face and Body Sunscreen,Rodan & Fields,LOTION,TOPICAL,.028,g,
15631-0105,CANTHARIS,CANTHARIS,"Rxhomeo Private Limited d.b.a. Rxhomeo, Inc",PELLET,ORAL,3,[hp_X],
16103-376,Acetaminophen,Pharbetol,"Pharbest Pharmaceuticals, Inc.",TABLET,ORAL,500,mg,
16714-035,Levetiracetam,Levetiracetam,NorthStar RxLLC,"TABLET, FILM COATED",ORAL,500,mg,
16714-663,Gabapentin,Gabapentin,NorthStar Rx LLC,CAPSULE,ORAL,400,mg,
21130-381,loperamide hydrochloride,anti-diarrheal,Safeway,SOLUTION,ORAL,1,mg,
16729-236,ropinirole,ropinirole,Accord Healthcare Inc.,"TABLET, FILM COATED",ORAL,3,mg,
17089-474,calcium sulfide - chondrodendron tomentosum root - equisetum hyemale - sus scrofa pituitary gland - apis mellifera - urtica urens - sodium chloride - lobaria pulmonaria - horse chestnut - berberis vulgaris fruit - solidago viragaurea flowering top -,GUNA KIDNEY PLUS,Guna spa,SOLUTION/ DROPS,ORAL,12,[hp_X],
17856-1118,DIMETHICONE,GNP Regular Strength Gas Relief,ATLANTIC BIOLOGICALS CORP.,"TABLET, CHEWABLE",ORAL,80,mg,
31722-322,lisdexamfetamine dimesylate,LISDEXAMFETAMINE DIMESYLATE,"Camber Pharmaceuticals, Inc.","TABLET, CHEWABLE",ORAL,20,mg,
31722-715,Atomoxetine,Atomoxetine,"Camber Pharmaceuticals, Inc.",CAPSULE,ORAL,18,mg,
33342-042,Sildenafil,Sildenafil,Macleods Pharmaceuticals Limited,"TABLET, FILM COATED",ORAL,50,mg,
33342-332,Triamcinolone acetonide,Triamcinolone acetonide,Macleods Pharmaceuticals Limited,OINTMENT,TOPICAL,5,mg,
22840-5468,Populus nigra,Lombardys Poplar Pollen,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS",.025,g,
22840-9402,"Fraxinus pennsylvanica, Fraxinus americana",Ash Pollen Mix,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS",.025,g,
23155-250,VENLAFAXINE,VENLAFAXINE,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,TABLET,ORAL,100,mg,
23667-050,"TITANIUM DIOXIDE, ZINC OXIDE",Banana Boat kids mineral Vanishing Green Foam SPF 50 Amazing Apple,"Formulated Solutions, LLC","AEROSOL, FOAM",TOPICAL,49,mg,
24338-854,Dextroamphetamine Sulfate,Zenzedi,"Azurity Pharmaceuticals, Inc.",TABLET,ORAL,15,mg,
24909-035,ALLANTOIN,terrasil Bed Sore and Pressure Sore Relief,"Aidance Scientific, Inc, DBA Aidance Skincare & Topical Solutions",OINTMENT,TOPICAL,.6,g,
25021-191,Micafungin Sodium,Micafungin,Sagent Pharmaceuticals,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,100,mg,
27241-004,RISPERIDONE,RISPERIDONE,Ajanta Pharma USA Inc.,TABLET,ORAL,2,mg,
30142-573,"Glycerin, Naphazoline hydrochloride",Kroger Eye Drops Redness Relief,The Kroger Co.,SOLUTION/ DROPS,OPHTHALMIC,.25,g,
31722-010,Droxidopa,Droxidopa,"Camber Pharmaceuticals, Inc.",CAPSULE,ORAL,300,mg,
27808-245,Lacosamide,Lacosamide,Tris Pharma Inc,TABLET,ORAL,150,mg,
29485-5271,Nicotine,Nicorette White Mint nicotine polacrilex,"Lil' Drug Store Products, Inc.","GUM, CHEWING",ORAL,4,mg,
37662-2183,Kali Sulphuricum,Kali Sulphuricum,"Hahnemann Laboratories, INC.",PELLET,ORAL,12,[hp_C],
37662-2414,Acidum Nitricum,Acidum Nitricum,"Hahnemann Laboratories, INC.",PELLET,ORAL,12,[hp_C],
37662-2644,Mancinella Venenata,Mancinella Venenata,"Hahnemann Laboratories, INC.",PELLET,ORAL,1,[hp_Q],
37662-2875,Mercurius Cyanatus,Mercurius Cyanatus,"Hahnemann Laboratories, INC.",PELLET,ORAL,500,[hp_C],
37662-3105,Zirconium Carbonicum,Zirconium Carbonicum,"Hahnemann Laboratories, INC.",PELLET,ORAL,500,[hp_C],
35000-169,Stannous Fluoride,Colgate Total SF Advanced Deep Clean,Colgate-Palmolive Company,"PASTE, DENTIFRICE",DENTAL,1.1,mg,
35573-428,Pantoprazole Sodium,Pantoprazole Sodium,"Burel Pharmaceuticals, LLC","TABLET, DELAYED RELEASE",ORAL,40,mg,
36800-338,Bismuth subsalicylate,TopCare Stomach Relief Regular Strength,TOPCO ASSOCIATES LLC,SUSPENSION,ORAL,525,mg,
36800-924,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, and PHENYLEPHRINE HYDROCHLORIDE",Cold Plus Head Congestion Daytime,TopCo Associates LLC,"TABLET, COATED",ORAL,325,mg,
37662-0098,Calcarea Muriatica,Calcarea Muriatica,"Hahnemann Laboratories, INC.",PELLET,ORAL,1,[hp_M],
